id;title;description;price;count
1;product 1;description 1;75;37
2;product 2;description 2;26;31
3;product 3;description 3;10;31
4;product 4;description 4;100;23
5;product 5;description 5;10;39
6;product 6;description 6;77;49
7;product 7;description 7;97;22
8;product 8;description 8;20;35
9;product 9;description 9;76;20
10;product 10;description 10;45;16
11;product 11;description 11;21;30
12;product 12;description 12;30;30
13;product 13;description 13;68;29
14;product 14;description 14;98;13
15;product 15;description 15;66;30
16;product 16;description 16;44;39
17;product 17;description 17;67;46
18;product 18;description 18;39;28
19;product 19;description 19;71;33
20;product 20;description 20;75;12
